scenario_key,hand_category,example_hands,position,stack_depth,blinds_level,training_games,actions_pruned_count,best_action,confidence,fold_prob,call_small_prob,call_mid_prob,call_high_prob,raise_small_prob,raise_mid_prob,raise_high_prob
trash|BB|very_deep|medium,trash,"72o, 83o, 94o",BB,very_deep,medium,0,0,CALL_SMALL,0.571,0.071,0.571,0.071,0.071,0.071,0.071,0.071
trash|BTN|very_deep|high,trash,"72o, 83o, 94o",BTN,very_deep,high,0,0,RAISE_MID,0.433,0.1,0.1,0.0,0.0,0.267,0.433,0.1
trash|BTN|very_deep|low,trash,"72o, 83o, 94o",BTN,very_deep,low,0,0,FOLD,0.333,0.333,0.333,0.0,0.0,0.333,0.0,0.0
trash|BTN|short|medium,trash,"72o, 83o, 94o",BTN,short,medium,0,0,FOLD,0.333,0.333,0.333,0.0,0.0,0.333,0.0,0.0
