scenario_key,hand_category,position,stack_category,blinds_level,iterations_completed,processing_time_seconds,processing_time_minutes,final_regret,stop_reason,regret_history_length
premium_pairs|BTN|ultra_short|high,premium_pairs,BTN,ultra_short,high,100,22.476139783859253,0.37460232973098756,92.36272727272723,regret_stabilized,100
premium_pairs|BTN|ultra_short|low,premium_pairs,BTN,ultra_short,low,100,21.64902687072754,0.36081711451212567,88.54454545454543,regret_stabilized,100
premium_pairs|BTN|ultra_short|medium,premium_pairs,BTN,ultra_short,medium,50,10.978589296340942,0.18297648827234905,21.05,regret_stabilized,50
