scenario_key,hand_category,example_hands,position,stack_depth,blinds_level,training_games,recommended_action,confidence_percent,fold_percent,call_small_percent,call_mid_percent,call_high_percent,raise_small_percent,raise_mid_percent,raise_high_percent
medium_pairs|BTN|medium|high,medium_pairs,"99, 88, 77",BTN,medium,high,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
small_pairs|BTN|medium|low,small_pairs,"55, 44, 33",BTN,medium,low,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
medium_aces|BTN|short|medium,medium_aces,"ATs, ATo, A9s",BTN,short,medium,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
premium_aces|BTN|ultra_short|high,premium_aces,"AKs, AKo, AQs",BTN,ultra_short,high,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
small_pairs|BTN|very_deep|high,small_pairs,"55, 44, 33",BTN,very_deep,high,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
suited_gappers|BTN|very_deep|high,suited_gappers,"T8s, 97s, 86s",BTN,very_deep,high,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
suited_broadway|BTN|ultra_short|high,suited_broadway,"KQs, KJs, QJs",BTN,ultra_short,high,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
suited_gappers|BTN|short|high,suited_gappers,"T8s, 97s, 86s",BTN,short,high,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
offsuit_broadway|BB|ultra_short|high,offsuit_broadway,"KQo, KJo, QJo",BB,ultra_short,high,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
suited_connectors|BTN|ultra_short|low,suited_connectors,"98s, 87s, 76s",BTN,ultra_short,low,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
suited_broadway|BTN|very_deep|low,suited_broadway,"KQs, KJs, QJs",BTN,very_deep,low,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
suited_gappers|BTN|very_deep|low,suited_gappers,"T8s, 97s, 86s",BTN,very_deep,low,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
suited_gappers|BB|short|medium,suited_gappers,"T8s, 97s, 86s",BB,short,medium,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
medium_pairs|BB|short|medium,medium_pairs,"99, 88, 77",BB,short,medium,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
suited_connectors|BB|deep|high,suited_connectors,"98s, 87s, 76s",BB,deep,high,2,CALL,62.5,12.5,62.5,0.0,0.0,12.5,12.5,0.0
small_pairs|BB|medium|medium,small_pairs,"55, 44, 33",BB,medium,medium,2,RAISE,58.34,29.17,12.5,0.0,0.0,29.17,29.17,0.0
weak_aces|BTN|ultra_short|medium,weak_aces,"A4s, A3s, A2s",BTN,ultra_short,medium,1,FOLD,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
suited_connectors|BTN|very_deep|medium,suited_connectors,"98s, 87s, 76s",BTN,very_deep,medium,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
suited_gappers|BTN|deep|high,suited_gappers,"T8s, 97s, 86s",BTN,deep,high,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
small_pairs|BB|very_deep|low,small_pairs,"55, 44, 33",BB,very_deep,low,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
weak_aces|BTN|medium|low,weak_aces,"A4s, A3s, A2s",BTN,medium,low,1,FOLD,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
trash|BB|deep|high,trash,"72o, 83o, 94o",BB,deep,high,1,FOLD,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
trash|BB|very_deep|high,trash,"72o, 83o, 94o",BB,very_deep,high,1,FOLD,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
suited_gappers|BB|short|low,suited_gappers,"T8s, 97s, 86s",BB,short,low,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
suited_broadway|BTN|very_deep|high,suited_broadway,"KQs, KJs, QJs",BTN,very_deep,high,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
trash|BTN|very_deep|medium,trash,"72o, 83o, 94o",BTN,very_deep,medium,1,FOLD,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
offsuit_broadway|BB|medium|low,offsuit_broadway,"KQo, KJo, QJo",BB,medium,low,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
weak_aces|BTN|very_deep|high,weak_aces,"A4s, A3s, A2s",BTN,very_deep,high,1,FOLD,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
suited_broadway|BB|very_deep|medium,suited_broadway,"KQs, KJs, QJs",BB,very_deep,medium,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
suited_connectors|BB|deep|medium,suited_connectors,"98s, 87s, 76s",BB,deep,medium,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
offsuit_broadway|BB|medium|high,offsuit_broadway,"KQo, KJo, QJo",BB,medium,high,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
medium_pairs|BB|medium|medium,medium_pairs,"99, 88, 77",BB,medium,medium,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
suited_broadway|BTN|very_deep|medium,suited_broadway,"KQs, KJs, QJs",BTN,very_deep,medium,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
trash|BTN|ultra_short|high,trash,"72o, 83o, 94o",BTN,ultra_short,high,1,FOLD,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
offsuit_broadway|BB|very_deep|high,offsuit_broadway,"KQo, KJo, QJo",BB,very_deep,high,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
suited_connectors|BTN|medium|high,suited_connectors,"98s, 87s, 76s",BTN,medium,high,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
suited_broadway|BB|very_deep|low,suited_broadway,"KQs, KJs, QJs",BB,very_deep,low,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
trash|BB|very_deep|medium,trash,"72o, 83o, 94o",BB,very_deep,medium,1,FOLD,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
offsuit_broadway|BB|deep|high,offsuit_broadway,"KQo, KJo, QJo",BB,deep,high,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
offsuit_broadway|BB|very_deep|low,offsuit_broadway,"KQo, KJo, QJo",BB,very_deep,low,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
medium_aces|BTN|medium|low,medium_aces,"ATs, ATo, A9s",BTN,medium,low,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
small_pairs|BTN|deep|high,small_pairs,"55, 44, 33",BTN,deep,high,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
weak_aces|BTN|very_deep|low,weak_aces,"A4s, A3s, A2s",BTN,very_deep,low,1,FOLD,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
weak_aces|BTN|ultra_short|high,weak_aces,"A4s, A3s, A2s",BTN,ultra_short,high,1,FOLD,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
weak_aces|BTN|short|medium,weak_aces,"A4s, A3s, A2s",BTN,short,medium,1,FOLD,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
suited_gappers|BB|very_deep|low,suited_gappers,"T8s, 97s, 86s",BB,very_deep,low,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
suited_connectors|BB|medium|medium,suited_connectors,"98s, 87s, 76s",BB,medium,medium,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
small_pairs|BB|short|medium,small_pairs,"55, 44, 33",BB,short,medium,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
medium_aces|BB|very_deep|low,medium_aces,"ATs, ATo, A9s",BB,very_deep,low,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
medium_aces|BB|very_deep|medium,medium_aces,"ATs, ATo, A9s",BB,very_deep,medium,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
medium_aces|BB|medium|medium,medium_aces,"ATs, ATo, A9s",BB,medium,medium,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
suited_broadway|BB|short|low,suited_broadway,"KQs, KJs, QJs",BB,short,low,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
trash|BB|medium|low,trash,"72o, 83o, 94o",BB,medium,low,1,FOLD,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
suited_gappers|BB|deep|high,suited_gappers,"T8s, 97s, 86s",BB,deep,high,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
weak_aces|BB|medium|high,weak_aces,"A4s, A3s, A2s",BB,medium,high,1,FOLD,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
medium_pairs|BB|very_deep|low,medium_pairs,"99, 88, 77",BB,very_deep,low,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
trash|BTN|short|medium,trash,"72o, 83o, 94o",BTN,short,medium,1,FOLD,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
weak_aces|BTN|ultra_short|low,weak_aces,"A4s, A3s, A2s",BTN,ultra_short,low,1,FOLD,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
weak_aces|BB|short|low,weak_aces,"A4s, A3s, A2s",BB,short,low,1,FOLD,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
medium_aces|BTN|deep|medium,medium_aces,"ATs, ATo, A9s",BTN,deep,medium,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
suited_connectors|BB|very_deep|medium,suited_connectors,"98s, 87s, 76s",BB,very_deep,medium,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
medium_aces|BB|medium|low,medium_aces,"ATs, ATo, A9s",BB,medium,low,1,RAISE,50.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0
