scenario_key,hand_category,example_hands,position,stack_depth,blinds_level,training_games,actions_pruned_count,best_action,confidence,fold_prob,call_small_prob,call_mid_prob,call_high_prob,raise_small_prob,raise_mid_prob,raise_high_prob
trash|BTN|medium|low,trash,"72o, 83o, 94o",BTN,medium,low,0,1,RAISE_MID,0.625,0.125,0.125,0.0,0.0,0.125,0.625,0.0
trash|BB|very_deep|low,trash,"72o, 83o, 94o",BB,very_deep,low,0,0,CALL_SMALL,0.571,0.071,0.571,0.071,0.071,0.071,0.071,0.071
trash|BTN|very_deep|high,trash,"72o, 83o, 94o",BTN,very_deep,high,0,0,RAISE_HIGH,0.513,0.111,0.175,0.021,0.019,0.143,0.018,0.513
trash|BTN|deep|high,trash,"72o, 83o, 94o",BTN,deep,high,0,2,FOLD,0.484,0.484,0.216,0.0,0.0,0.1,0.1,0.1
trash|BB|very_deep|high,trash,"72o, 83o, 94o",BB,very_deep,high,0,0,FOLD,0.484,0.484,0.216,0.0,0.0,0.1,0.1,0.1
trash|BTN|very_deep|medium,trash,"72o, 83o, 94o",BTN,very_deep,medium,0,2,FOLD,0.44,0.44,0.04,0.0,0.0,0.109,0.059,0.353
trash|BTN|very_deep|low,trash,"72o, 83o, 94o",BTN,very_deep,low,0,0,CALL_SMALL,0.403,0.369,0.403,0.069,0.052,0.036,0.036,0.036
trash|BB|very_deep|medium,trash,"72o, 83o, 94o",BB,very_deep,medium,0,0,CALL_SMALL,0.321,0.071,0.321,0.238,0.155,0.071,0.071,0.071
trash|BB|medium|medium,trash,"72o, 83o, 94o",BB,medium,medium,0,0,FOLD,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0
trash|BTN|medium|high,trash,"72o, 83o, 94o",BTN,medium,high,0,0,FOLD,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143
trash|BTN|medium|medium,trash,"72o, 83o, 94o",BTN,medium,medium,0,0,FOLD,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143
trash|BB|deep|low,trash,"72o, 83o, 94o",BB,deep,low,0,0,FOLD,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143
trash|BB|deep|medium,trash,"72o, 83o, 94o",BB,deep,medium,0,0,FOLD,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143
