iteration,time_per_iteration,total_elapsed_time,average_regret,max_regret,unique_scenarios_visited,scenario_coverage_0_10,scenario_coverage_11_25,scenario_coverage_26_50,scenario_coverage_51_100,scenario_coverage_100_plus
0,0.2261216640472412,0.2261216640472412,0.6599999999999999,2.1,1,1,0,0,0,0
100,21.798929929733276,22.025051593780518,0.588364292859755,15.390909090909089,44,44,0,0,0,0
200,22.552956581115723,44.57800817489624,0.8636053760946806,19.725,49,48,1,0,0,0
300,22.962026834487915,67.54003500938416,1.2842878532209068,20.845454545454544,49,48,1,0,0,0
400,23.120816230773926,90.66085124015808,1.8503699872618844,37.37500000000001,49,42,7,0,0,0
499,22.87948203086853,113.54033327102661,2.277623348053211,49.30000000000001,49,25,24,0,0,0
