scenario_key,hand_category,position,stack_category,primary_action,confidence,total_games,workers_trained,fold_prob,call_small_prob,call_large_prob,raise_small_prob,raise_large_prob,all_in_prob
suited_connectors_BB_medium_tiny_late,suited,connectors,BB,fold,0.629,3,4,0.629,0.083,0.0,0.144,0.144,0.0
offsuit_broadway_BTN_ultra_short_huge_early,offsuit,broadway,BTN,fold,0.333,2,4,0.333,0.0,0.333,0.0,0.0,0.333
trash_BB_medium_small_middle,trash,BB,medium,raise_small,0.368,3,4,0.083,0.298,0.0,0.368,0.25,0.0
trash_BB_short_small_early,trash,BB,short,fold,0.707,5,4,0.707,0.173,0.0,0.04,0.04,0.04
suited_gappers_BTN_ultra_short_large_middle,suited,gappers,BTN,fold,0.634,6,4,0.634,0.0,0.129,0.0,0.0,0.237
trash_BB_very_deep_tiny_bubble,trash,BB,very,raise_small,0.588,3,4,0.083,0.083,0.0,0.588,0.245,0.0
weak_aces_BB_short_small_late,weak,aces,BB,all_in,0.575,9,4,0.049,0.055,0.0,0.121,0.2,0.575
weak_aces_BB_medium_tiny_bubble,weak,aces,BB,raise_small,0.57,8,4,0.031,0.031,0.0,0.57,0.367,0.0
trash_BB_ultra_short_large_middle,trash,BB,ultra,all_in,0.667,6,4,0.167,0.0,0.167,0.0,0.0,0.667
weak_aces_BB_very_deep_tiny_late,weak,aces,BB,raise_small,0.473,5,4,0.05,0.05,0.0,0.473,0.427,0.0
trash_BTN_medium_tiny_bubble,trash,BTN,medium,raise_small,0.619,7,4,0.036,0.036,0.0,0.619,0.309,0.0
trash_BB_short_large_late,trash,BB,short,all_in,0.478,4,4,0.255,0.0,0.096,0.05,0.121,0.478
suited_gappers_BB_short_tiny_bubble,suited,gappers,BB,raise_small,0.367,3,4,0.067,0.067,0.0,0.367,0.324,0.176
suited_gappers_BB_short_tiny_middle,suited,gappers,BB,all_in,0.395,5,4,0.088,0.28,0.0,0.102,0.135,0.395
suited_gappers_BB_deep_tiny_late,suited,gappers,BB,raise_large,0.496,6,4,0.042,0.042,0.0,0.421,0.496,0.0
weak_aces_BB_medium_small_early,weak,aces,BB,raise_small,0.618,4,4,0.062,0.062,0.0,0.618,0.257,0.0
suited_gappers_BTN_medium_no_bet_early,suited,gappers,BTN,fold,0.25,7,4,0.25,0.0,0.0,0.0,0.0,0.0
weak_aces_BTN_medium_tiny_early,weak,aces,BTN,raise_large,0.613,3,4,0.083,0.083,0.0,0.22,0.613,0.0
weak_aces_BB_ultra_short_large_early,weak,aces,BB,raise_small,0.386,4,4,0.05,0.0,0.05,0.386,0.269,0.244
weak_aces_BTN_very_deep_tiny_bubble,weak,aces,BTN,raise_large,0.477,5,4,0.05,0.05,0.0,0.423,0.477,0.0
trash_BTN_medium_tiny_middle,trash,BTN,medium,raise_small,0.523,4,4,0.062,0.062,0.0,0.523,0.352,0.0
suited_gappers_BB_medium_tiny_bubble,suited,gappers,BB,raise_small,0.504,8,4,0.031,0.031,0.0,0.504,0.434,0.0
weak_aces_BTN_ultra_short_no_bet_early,weak,aces,BTN,all_in,0.8,4,4,0.05,0.0,0.0,0.0,0.0,0.8
suited_gappers_BB_deep_tiny_bubble,suited,gappers,BB,raise_large,0.596,3,4,0.083,0.083,0.0,0.238,0.596,0.0
weak_aces_BTN_medium_small_middle,weak,aces,BTN,call_small,0.625,2,4,0.125,0.625,0.0,0.125,0.125,0.0
trash_BB_medium_small_bubble,trash,BB,medium,fold,0.623,6,4,0.623,0.099,0.0,0.144,0.134,0.0
