hero_cards,villain_cards,hero_cards_str,villain_cards_str,hero_stack_bb,villain_stack_bb,stack_category,hero_action,villain_action,result,hero_stack_change,iteration
"[134253349, 147715]","[270853, 8423187]",[K♣] [3♦],[4♥] [9♣],50,50,medium,raise_high,fold,hero_wins,1.5,1
"[541447, 2106637]","[1065995, 147715]",[5♦] [7♥],[6♦] [3♦],17,17,short,fold,fold,villain_wins,-1.5,2
"[67119647, 8406803]","[67127839, 4212241]",[Q♥] [9♦],[Q♦] [8♦],75,75,medium,raise_high,raise_small,hero_wins,7.5,3
"[2102541, 16787479]","[8423187, 147715]",[7♠] [T♥],[9♣] [3♦],10,10,short,raise_mid,raise_high,hero_wins,7.5,4
"[268446761, 16787479]","[2102541, 135427]",[A♥] [T♥],[7♠] [3♠],19,19,short,call_small,call_small,hero_wins,4.5,5
"[529159, 33564957]","[69634, 81922]",[5♠] [J♥],[2♠] [2♦],78,78,deep,call_small,fold,hero_wins,1.5,6
"[4199953, 268454953]","[16795671, 270853]",[8♠] [A♦],[T♦] [4♥],31,31,medium,raise_small,raise_high,hero_wins,7.5,7
"[135427, 8406803]","[541447, 2131213]",[3♠] [9♦],[5♦] [7♣],148,148,deep,call_small,raise_small,hero_wins,6.0,8
"[2114829, 147715]","[8406803, 134253349]",[7♦] [3♦],[9♦] [K♣],114,114,deep,raise_small,raise_high,hero_wins,7.5,9
"[147715, 533255]","[33560861, 266757]",[3♦] [5♥],[J♠] [4♠],42,42,medium,raise_high,raise_high,hero_wins,7.5,10
"[1053707, 4212241]","[4204049, 2106637]",[6♠] [8♦],[8♥] [7♥],12,12,short,raise_high,fold,hero_wins,1.5,11
"[33589533, 98306]","[4199953, 33573149]",[J♣] [2♣],[8♠] [J♦],10,10,short,call_small,fold,hero_wins,1.5,12
"[33564957, 98306]","[4212241, 164099]",[J♥] [2♣],[8♦] [3♣],15,15,short,call_small,fold,hero_wins,1.5,13
"[541447, 16795671]","[1057803, 4204049]",[5♦] [T♦],[6♥] [8♥],15,15,short,call_small,raise_high,hero_wins,6.0,14
"[134224677, 147715]","[33589533, 164099]",[K♠] [3♦],[J♣] [3♣],130,130,deep,raise_small,raise_high,villain_wins,-1.5,15
"[268471337, 541447]","[81922, 134253349]",[A♣] [5♦],[2♦] [K♣],110,110,deep,raise_small,fold,hero_wins,1.5,16
"[134224677, 2106637]","[16783383, 1057803]",[K♠] [7♥],[T♠] [6♥],24,24,short,raise_high,raise_high,villain_wins,-1.5,17
