scenario_key,hand_category,position,stack_depth,blinds_level,training_games,best_action,confidence,fold_prob,call_small_prob,call_mid_prob,call_high_prob,raise_small_prob,raise_mid_prob,raise_high_prob
trash|BB|medium|high,trash,BB,medium,high,0,FOLD,0.625,0.625,0.125,0.0,0.0,0.125,0.125,0.0
trash|BTN|deep|medium,trash,BTN,deep,medium,0,RAISE_HIGH,0.5,0.1,0.1,0.0,0.0,0.2,0.1,0.5
trash|BTN|very_deep|high,trash,BTN,very_deep,high,2,FOLD,0.333,0.333,0.333,0.0,0.0,0.333,0.0,0.0
trash|BB|very_deep|low,trash,BB,very_deep,low,1,FOLD,0.333,0.333,0.333,0.0,0.0,0.333,0.0,0.0
trash|BB|very_deep|medium,trash,BB,very_deep,medium,3,FOLD,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2
trash|BTN|deep|low,trash,BTN,deep,low,0,FOLD,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2
trash|BTN|very_deep|low,trash,BTN,very_deep,low,1,FOLD,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143
trash|BTN|very_deep|medium,trash,BTN,very_deep,medium,0,FOLD,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143
