scenario_key,hand_cat,position,stack_cat,blinds_level,villain_stack_cat,preflop_context,visits,pct_fold,pct_call_small,pct_raise_small,pct_raise_mid,pct_raise_high
suited_broadway|BTN|deep|medium|medium|standard,suited_broadway,BTN,deep,medium,medium,standard,1,0.0,1.0,0.0,0.0,0.0
weak_aces|BB|medium|medium|deep|opp_check,weak_aces,BB,medium,medium,deep,opp_check,1,0.0,0.0,0.0,0.0,1.0
suited_broadway|BTN|deep|medium|medium|opp_raise_high,suited_broadway,BTN,deep,medium,medium,opp_raise_high,1,0.0,1.0,0.0,0.0,0.0
trash|BTN|medium|medium|medium|standard,trash,BTN,medium,medium,medium,standard,4,0.0,0.25,0.0,0.5,0.25
trash|BB|medium|medium|medium|opp_raise_high,trash,BB,medium,medium,medium,opp_raise_high,4,0.0,1.0,0.0,0.0,0.0
trash|BB|deep|medium|medium|opp_raise_mid,trash,BB,deep,medium,medium,opp_raise_mid,1,0.0,0.0,0.0,1.0,0.0
trash|BTN|medium|medium|deep|opp_raise_mid_3bet,trash,BTN,medium,medium,deep,opp_raise_mid_3bet,1,1.0,0.0,0.0,0.0,0.0
trash|BTN|medium|medium|very_deep|standard,trash,BTN,medium,medium,very_deep,standard,19,0.1053,0.2631,0.1053,0.2631,0.2631
trash|BB|very_deep|medium|medium|opp_check,trash,BB,very_deep,medium,medium,opp_check,8,0.0,0.625,0.125,0.25,0.0
trash|BTN|medium|medium|very_deep|opp_check,trash,BTN,medium,medium,very_deep,opp_check,3,0.0,0.0,0.3333,0.3333,0.3333
trash|BB|very_deep|medium|medium|opp_raise_low,trash,BB,very_deep,medium,medium,opp_raise_low,1,0.0,1.0,0.0,0.0,0.0
medium_pairs|BB|very_deep|medium|medium|opp_check,medium_pairs,BB,very_deep,medium,medium,opp_check,1,0.0,0.0,0.0,1.0,0.0
trash|BTN|medium|medium|very_deep|opp_raise_mid,trash,BTN,medium,medium,very_deep,opp_raise_mid,2,1.0,0.0,0.0,0.0,0.0
trash|BB|medium|medium|very_deep|opp_raise_mid,trash,BB,medium,medium,very_deep,opp_raise_mid,11,0.2727,0.3636,0.1818,0.0909,0.0909
premium_aces|BTN|medium|medium|very_deep|standard,premium_aces,BTN,medium,medium,very_deep,standard,2,0.5,0.5,0.0,0.0,0.0
trash|BTN|medium|medium|very_deep|opp_raise_mid_3bet,trash,BTN,medium,medium,very_deep,opp_raise_mid_3bet,4,0.0,1.0,0.0,0.0,0.0
trash|BB|very_deep|medium|short|opp_raise_low,trash,BB,very_deep,medium,short,opp_raise_low,1,1.0,0.0,0.0,0.0,0.0
trash|BTN|very_deep|medium|short|standard,trash,BTN,very_deep,medium,short,standard,2,0.5,0.5,0.0,0.0,0.0
trash|BB|short|medium|very_deep|opp_call_low,trash,BB,short,medium,very_deep,opp_call_low,1,0.0,1.0,0.0,0.0,0.0
trash|BTN|very_deep|medium|short|opp_check,trash,BTN,very_deep,medium,short,opp_check,1,0.0,1.0,0.0,0.0,0.0
trash|BB|short|medium|very_deep|opp_check,trash,BB,short,medium,very_deep,opp_check,1,0.0,0.0,1.0,0.0,0.0
medium_aces|BB|very_deep|medium|medium|opp_raise_mid,medium_aces,BB,very_deep,medium,medium,opp_raise_mid,2,0.0,0.5,0.0,0.5,0.0
