scenario_key,hand_cat,position,stack_cat,blinds_level,villain_stack_cat,preflop_context,visits,pct_fold,pct_call_small,pct_raise_small,pct_raise_mid,pct_raise_high
trash|BTN|deep|medium|very_deep|opp_raise_mid_3bet,trash,BTN,deep,medium,very_deep,opp_raise_mid_3bet,2,0.0,0.0,0.0,0.5,0.5
small_pairs|BB|very_deep|medium|deep|opp_raise_high_3bet,small_pairs,BB,very_deep,medium,deep,opp_raise_high_3bet,1,0.0,0.0,0.0,1.0,0.0
trash|BTN|very_deep|medium|very_deep|opp_check,trash,BTN,very_deep,medium,very_deep,opp_check,2,1.0,0.0,0.0,0.0,0.0
trash|BTN|very_deep|medium|very_deep|opp_raise_low_3bet,trash,BTN,very_deep,medium,very_deep,opp_raise_low_3bet,3,0.3333,0.0,0.0,0.6667,0.0
trash|BTN|deep|low|deep|standard,trash,BTN,deep,low,deep,standard,5,0.2,0.4,0.0,0.2,0.2
trash|BB|deep|low|deep|opp_raise_high,trash,BB,deep,low,deep,opp_raise_high,3,0.0,0.3333,0.3333,0.0,0.3333
premium_aces|BTN|very_deep|low|deep|standard,premium_aces,BTN,very_deep,low,deep,standard,1,0.0,0.0,0.0,1.0,0.0
trash|BB|deep|low|very_deep|opp_raise_mid,trash,BB,deep,low,very_deep,opp_raise_mid,2,0.0,0.5,0.0,0.5,0.0
trash|BTN|deep|low|deep|opp_raise_high_3bet,trash,BTN,deep,low,deep,opp_raise_high_3bet,1,1.0,0.0,0.0,0.0,0.0
trash|BB|very_deep|low|deep|opp_check,trash,BB,very_deep,low,deep,opp_check,8,0.375,0.0,0.125,0.25,0.25
trash|BTN|deep|low|very_deep|opp_raise_mid_3bet,trash,BTN,deep,low,very_deep,opp_raise_mid_3bet,2,0.5,0.5,0.0,0.0,0.0
premium_aces|BTN|deep|low|very_deep|standard,premium_aces,BTN,deep,low,very_deep,standard,1,0.0,1.0,0.0,0.0,0.0
medium_pairs|BB|very_deep|low|deep|opp_call_low,medium_pairs,BB,very_deep,low,deep,opp_call_low,1,0.0,0.0,0.0,0.0,1.0
premium_aces|BTN|deep|low|very_deep|opp_raise_high,premium_aces,BTN,deep,low,very_deep,opp_raise_high,1,0.0,1.0,0.0,0.0,0.0
suited_gappers|BTN|very_deep|low|deep|standard,suited_gappers,BTN,very_deep,low,deep,standard,2,0.0,0.5,0.0,0.5,0.0
trash|BB|deep|low|very_deep|opp_check,trash,BB,deep,low,very_deep,opp_check,1,0.0,0.0,1.0,0.0,0.0
suited_gappers|BTN|very_deep|low|deep|opp_raise_low,suited_gappers,BTN,very_deep,low,deep,opp_raise_low,1,0.0,1.0,0.0,0.0,0.0
medium_aces|BTN|deep|low|very_deep|standard,medium_aces,BTN,deep,low,very_deep,standard,2,0.0,1.0,0.0,0.0,0.0
medium_aces|BTN|deep|low|very_deep|opp_raise_mid,medium_aces,BTN,deep,low,very_deep,opp_raise_mid,2,1.0,0.0,0.0,0.0,0.0
trash|BB|deep|low|deep|opp_check,trash,BB,deep,low,deep,opp_check,1,0.0,0.0,0.0,0.0,1.0
trash|BTN|deep|low|deep|opp_raise_high,trash,BTN,deep,low,deep,opp_raise_high,1,1.0,0.0,0.0,0.0,0.0
trash|BTN|deep|low|deep|opp_raise_low,trash,BTN,deep,low,deep,opp_raise_low,1,0.0,0.0,0.0,1.0,0.0
trash|BB|deep|low|deep|opp_raise_mid_3bet,trash,BB,deep,low,deep,opp_raise_mid_3bet,1,0.0,1.0,0.0,0.0,0.0
offsuit_broadway|BTN|very_deep|low|deep|standard,offsuit_broadway,BTN,very_deep,low,deep,standard,3,0.0,0.3333,0.0,0.0,0.6667
trash|BB|deep|low|very_deep|opp_raise_high,trash,BB,deep,low,very_deep,opp_raise_high,2,0.0,0.0,0.5,0.5,0.0
offsuit_broadway|BTN|very_deep|low|deep|opp_raise_mid_3bet,offsuit_broadway,BTN,very_deep,low,deep,opp_raise_mid_3bet,2,0.5,0.5,0.0,0.0,0.0
trash|BB|very_deep|low|deep|opp_raise_high,trash,BB,very_deep,low,deep,opp_raise_high,4,0.25,0.25,0.25,0.25,0.0
premium_pairs|BB|deep|low|very_deep|opp_raise_low_3bet,premium_pairs,BB,deep,low,very_deep,opp_raise_low_3bet,1,1.0,0.0,0.0,0.0,0.0
trash|BTN|very_deep|low|deep|opp_raise_low,trash,BTN,very_deep,low,deep,opp_raise_low,4,1.0,0.0,0.0,0.0,0.0
weak_aces|BTN|deep|low|very_deep|standard,weak_aces,BTN,deep,low,very_deep,standard,2,0.5,0.0,0.0,0.0,0.5
medium_pairs|BB|deep|low|very_deep|opp_raise_high,medium_pairs,BB,deep,low,very_deep,opp_raise_high,1,1.0,0.0,0.0,0.0,0.0
trash|BTN|deep|low|very_deep|opp_check,trash,BTN,deep,low,very_deep,opp_check,3,0.6667,0.0,0.0,0.3333,0.0
suited_gappers|BB|very_deep|low|deep|opp_check,suited_gappers,BB,very_deep,low,deep,opp_check,1,0.0,0.0,1.0,0.0,0.0
trash|BTN|deep|low|very_deep|opp_raise_low,trash,BTN,deep,low,very_deep,opp_raise_low,1,0.0,1.0,0.0,0.0,0.0
medium_pairs|BTN|deep|low|very_deep|standard,medium_pairs,BTN,deep,low,very_deep,standard,2,0.0,0.0,1.0,0.0,0.0
offsuit_broadway|BB|very_deep|low|deep|opp_raise_low,offsuit_broadway,BB,very_deep,low,deep,opp_raise_low,1,0.0,0.0,1.0,0.0,0.0
medium_pairs|BTN|deep|low|very_deep|opp_raise_low_3bet,medium_pairs,BTN,deep,low,very_deep,opp_raise_low_3bet,2,1.0,0.0,0.0,0.0,0.0
medium_aces|BB|deep|low|very_deep|opp_raise_mid,medium_aces,BB,deep,low,very_deep,opp_raise_mid,1,0.0,0.0,0.0,1.0,0.0
trash|BTN|very_deep|low|deep|opp_raise_mid_3bet,trash,BTN,very_deep,low,deep,opp_raise_mid_3bet,3,0.6667,0.3333,0.0,0.0,0.0
suited_connectors|BTN|very_deep|low|deep|standard,suited_connectors,BTN,very_deep,low,deep,standard,1,0.0,0.0,0.0,1.0,0.0
suited_connectors|BTN|very_deep|low|deep|opp_raise_mid_3bet,suited_connectors,BTN,very_deep,low,deep,opp_raise_mid_3bet,1,0.0,0.0,0.0,1.0,0.0
trash|BB|deep|low|very_deep|opp_raise_mid_3bet,trash,BB,deep,low,very_deep,opp_raise_mid_3bet,1,0.0,1.0,0.0,0.0,0.0
weak_aces|BB|very_deep|low|deep|opp_raise_mid,weak_aces,BB,very_deep,low,deep,opp_raise_mid,1,0.0,1.0,0.0,0.0,0.0
offsuit_broadway|BB|very_deep|low|deep|opp_raise_high,offsuit_broadway,BB,very_deep,low,deep,opp_raise_high,1,0.0,0.0,0.0,1.0,0.0
weak_aces|BTN|deep|low|very_deep|opp_raise_mid_3bet,weak_aces,BTN,deep,low,very_deep,opp_raise_mid_3bet,1,0.0,0.0,0.0,1.0,0.0
offsuit_broadway|BB|very_deep|low|deep|opp_raise_mid_3bet,offsuit_broadway,BB,very_deep,low,deep,opp_raise_mid_3bet,2,1.0,0.0,0.0,0.0,0.0
medium_aces|BB|very_deep|low|deep|opp_raise_low,medium_aces,BB,very_deep,low,deep,opp_raise_low,1,0.0,0.0,1.0,0.0,0.0
suited_broadway|BTN|deep|low|very_deep|standard,suited_broadway,BTN,deep,low,very_deep,standard,1,0.0,1.0,0.0,0.0,0.0
suited_broadway|BTN|deep|low|very_deep|opp_raise_low,suited_broadway,BTN,deep,low,very_deep,opp_raise_low,1,1.0,0.0,0.0,0.0,0.0
small_pairs|BTN|deep|low|very_deep|standard,small_pairs,BTN,deep,low,very_deep,standard,1,0.0,0.0,0.0,1.0,0.0
trash|BB|very_deep|low|deep|opp_raise_mid,trash,BB,very_deep,low,deep,opp_raise_mid,1,0.0,1.0,0.0,0.0,0.0
medium_aces|BB|very_deep|low|deep|opp_raise_mid,medium_aces,BB,very_deep,low,deep,opp_raise_mid,1,0.0,0.0,0.0,0.0,1.0
trash|BTN|deep|low|very_deep|opp_raise_high_3bet,trash,BTN,deep,low,very_deep,opp_raise_high_3bet,1,1.0,0.0,0.0,0.0,0.0
suited_broadway|BTN|very_deep|low|deep|standard,suited_broadway,BTN,very_deep,low,deep,standard,1,1.0,0.0,0.0,0.0,0.0
offsuit_broadway|BB|very_deep|low|deep|opp_raise_mid,offsuit_broadway,BB,very_deep,low,deep,opp_raise_mid,1,0.0,1.0,0.0,0.0,0.0
trash|BB|very_deep|low|deep|opp_raise_mid_3bet,trash,BB,very_deep,low,deep,opp_raise_mid_3bet,1,0.0,0.0,0.0,0.0,1.0
trash|BTN|very_deep|low|medium|standard,trash,BTN,very_deep,low,medium,standard,2,0.0,0.5,0.5,0.0,0.0
trash|BB|medium|low|very_deep|opp_check,trash,BB,medium,low,very_deep,opp_check,2,0.5,0.0,0.0,0.5,0.0
trash|BTN|medium|low|very_deep|standard,trash,BTN,medium,low,very_deep,standard,1,0.0,1.0,0.0,0.0,0.0
trash|BB|very_deep|low|medium|opp_call_low,trash,BB,very_deep,low,medium,opp_call_low,1,1.0,0.0,0.0,0.0,0.0
trash|BTN|very_deep|low|medium|opp_raise_mid_3bet,trash,BTN,very_deep,low,medium,opp_raise_mid_3bet,1,0.0,0.0,0.0,0.0,1.0
trash|BB|medium|low|very_deep|opp_raise_high_3bet,trash,BB,medium,low,very_deep,opp_raise_high_3bet,1,0.0,1.0,0.0,0.0,0.0
suited_broadway|BB|very_deep|low|deep|opp_call_low,suited_broadway,BB,very_deep,low,deep,opp_call_low,1,0.0,0.0,0.0,0.0,1.0
trash|BTN|deep|low|very_deep|opp_raise_high,trash,BTN,deep,low,very_deep,opp_raise_high,1,0.0,1.0,0.0,0.0,0.0
suited_gappers|BB|deep|low|very_deep|opp_raise_mid,suited_gappers,BB,deep,low,very_deep,opp_raise_mid,1,0.0,1.0,0.0,0.0,0.0
offsuit_broadway|BB|very_deep|low|deep|opp_check,offsuit_broadway,BB,very_deep,low,deep,opp_check,1,0.0,0.0,0.0,1.0,0.0
trash|BTN|deep|low|very_deep|opp_raise_mid,trash,BTN,deep,low,very_deep,opp_raise_mid,1,0.0,0.0,0.0,1.0,0.0
suited_broadway|BB|deep|low|very_deep|opp_check,suited_broadway,BB,deep,low,very_deep,opp_check,1,1.0,0.0,0.0,0.0,0.0
offsuit_broadway|BTN|deep|low|very_deep|standard,offsuit_broadway,BTN,deep,low,very_deep,standard,1,0.0,1.0,0.0,0.0,0.0
weak_aces|BB|very_deep|low|deep|opp_call_low,weak_aces,BB,very_deep,low,deep,opp_call_low,1,0.0,0.0,0.0,0.0,1.0
offsuit_broadway|BTN|deep|low|very_deep|opp_raise_high,offsuit_broadway,BTN,deep,low,very_deep,opp_raise_high,1,0.0,1.0,0.0,0.0,0.0
small_pairs|BB|very_deep|low|deep|opp_raise_high,small_pairs,BB,very_deep,low,deep,opp_raise_high,1,0.0,0.0,1.0,0.0,0.0
trash|BTN|deep|low|very_deep|opp_raise_low_3bet,trash,BTN,deep,low,very_deep,opp_raise_low_3bet,1,0.0,0.0,0.0,0.0,1.0
small_pairs|BB|very_deep|low|deep|opp_raise_high_3bet,small_pairs,BB,very_deep,low,deep,opp_raise_high_3bet,1,0.0,1.0,0.0,0.0,0.0
trash|BTN|ultra_short|low|very_deep|standard,trash,BTN,ultra_short,low,very_deep,standard,2,0.5,0.5,0.0,0.0,0.0
trash|BB|very_deep|low|ultra_short|opp_check,trash,BB,very_deep,low,ultra_short,opp_check,1,0.0,1.0,0.0,0.0,0.0
trash|BTN|ultra_short|low|very_deep|opp_check,trash,BTN,ultra_short,low,very_deep,opp_check,1,0.0,0.0,0.0,0.0,1.0
trash|BB|very_deep|low|ultra_short|opp_shove,trash,BB,very_deep,low,ultra_short,opp_shove,1,0.0,1.0,0.0,0.0,0.0
trash|BTN|very_deep|low|short|standard,trash,BTN,very_deep,low,short,standard,1,0.0,1.0,0.0,0.0,0.0
trash|BB|short|low|very_deep|opp_check,trash,BB,short,low,very_deep,opp_check,1,1.0,0.0,0.0,0.0,0.0
trash|BTN|short|low|very_deep|standard,trash,BTN,short,low,very_deep,standard,1,0.0,1.0,0.0,0.0,0.0
medium_pairs|BB|very_deep|low|short|opp_check,medium_pairs,BB,very_deep,low,short,opp_check,1,0.0,0.0,0.0,1.0,0.0
trash|BTN|short|low|very_deep|opp_raise_mid,trash,BTN,short,low,very_deep,opp_raise_mid,1,0.0,0.0,0.0,1.0,0.0
medium_pairs|BB|very_deep|low|short|opp_raise_mid_3bet,medium_pairs,BB,very_deep,low,short,opp_raise_mid_3bet,1,0.0,1.0,0.0,0.0,0.0
small_pairs|BTN|very_deep|low|ultra_short|standard,small_pairs,BTN,very_deep,low,ultra_short,standard,1,0.0,0.0,0.0,1.0,0.0
trash|BB|ultra_short|low|very_deep|opp_raise_mid,trash,BB,ultra_short,low,very_deep,opp_raise_mid,1,1.0,0.0,0.0,0.0,0.0
trash|BTN|very_deep|low|ultra_short|standard,trash,BTN,very_deep,low,ultra_short,standard,1,0.0,0.0,1.0,0.0,0.0
trash|BB|ultra_short|low|very_deep|opp_raise_low,trash,BB,ultra_short,low,very_deep,opp_raise_low,1,1.0,0.0,0.0,0.0,0.0
medium_aces|BB|very_deep|medium|very_deep|opp_raise_high,medium_aces,BB,very_deep,medium,very_deep,opp_raise_high,1,0.0,0.0,1.0,0.0,0.0
medium_aces|BB|very_deep|medium|very_deep|opp_raise_mid_3bet,medium_aces,BB,very_deep,medium,very_deep,opp_raise_mid_3bet,1,0.0,0.0,0.0,1.0,0.0
medium_pairs|BB|deep|medium|very_deep|opp_call_low,medium_pairs,BB,deep,medium,very_deep,opp_call_low,1,1.0,0.0,0.0,0.0,0.0
weak_aces|BB|medium|medium|very_deep|opp_raise_high,weak_aces,BB,medium,medium,very_deep,opp_raise_high,1,0.0,0.0,0.0,0.0,1.0
trash|BB|medium|medium|very_deep|opp_raise_mid_3bet,trash,BB,medium,medium,very_deep,opp_raise_mid_3bet,1,0.0,1.0,0.0,0.0,0.0
trash|BB|very_deep|medium|deep|opp_raise_mid_3bet,trash,BB,very_deep,medium,deep,opp_raise_mid_3bet,1,0.0,0.0,0.0,1.0,0.0
trash|BB|very_deep|medium|very_deep|opp_raise_high,trash,BB,very_deep,medium,very_deep,opp_raise_high,1,0.0,0.0,1.0,0.0,0.0
offsuit_broadway|BB|very_deep|medium|very_deep|opp_call_low,offsuit_broadway,BB,very_deep,medium,very_deep,opp_call_low,1,0.0,0.0,0.0,1.0,0.0
offsuit_broadway|BB|very_deep|medium|very_deep|opp_raise_mid_3bet,offsuit_broadway,BB,very_deep,medium,very_deep,opp_raise_mid_3bet,1,0.0,0.0,0.0,1.0,0.0
offsuit_broadway|BTN|medium|medium|very_deep|standard,offsuit_broadway,BTN,medium,medium,very_deep,standard,1,1.0,0.0,0.0,0.0,0.0
small_pairs|BB|very_deep|medium|medium|opp_raise_mid,small_pairs,BB,very_deep,medium,medium,opp_raise_mid,1,1.0,0.0,0.0,0.0,0.0
premium_aces|BB|very_deep|medium|medium|opp_raise_high,premium_aces,BB,very_deep,medium,medium,opp_raise_high,2,0.0,0.0,0.0,0.0,1.0
trash|BTN|medium|medium|very_deep|opp_raise_high_3bet,trash,BTN,medium,medium,very_deep,opp_raise_high_3bet,2,0.0,0.5,0.0,0.5,0.0
premium_aces|BB|very_deep|medium|medium|opp_raise_mid_3bet,premium_aces,BB,very_deep,medium,medium,opp_raise_mid_3bet,1,1.0,0.0,0.0,0.0,0.0
suited_connectors|BB|deep|medium|very_deep|opp_raise_high,suited_connectors,BB,deep,medium,very_deep,opp_raise_high,1,0.0,1.0,0.0,0.0,0.0
offsuit_broadway|BB|very_deep|medium|deep|opp_raise_mid,offsuit_broadway,BB,very_deep,medium,deep,opp_raise_mid,1,0.0,0.0,1.0,0.0,0.0
trash|BTN|deep|medium|very_deep|opp_raise_low_3bet,trash,BTN,deep,medium,very_deep,opp_raise_low_3bet,1,1.0,0.0,0.0,0.0,0.0
suited_connectors|BTN|very_deep|medium|deep|standard,suited_connectors,BTN,very_deep,medium,deep,standard,1,0.0,0.0,1.0,0.0,0.0
trash|BB|very_deep|medium|deep|opp_raise_mid,trash,BB,very_deep,medium,deep,opp_raise_mid,1,0.0,0.0,0.0,0.0,1.0
trash|BTN|deep|medium|very_deep|opp_raise_high_3bet,trash,BTN,deep,medium,very_deep,opp_raise_high_3bet,1,0.0,1.0,0.0,0.0,0.0
offsuit_broadway|BTN|very_deep|medium|medium|standard,offsuit_broadway,BTN,very_deep,medium,medium,standard,1,0.0,0.0,0.0,1.0,0.0
small_pairs|BB|very_deep|medium|medium|opp_call_low,small_pairs,BB,very_deep,medium,medium,opp_call_low,1,0.0,0.0,0.0,1.0,0.0
premium_aces|BTN|medium|medium|very_deep|opp_raise_mid,premium_aces,BTN,medium,medium,very_deep,opp_raise_mid,1,0.0,1.0,0.0,0.0,0.0
suited_connectors|BB|medium|medium|very_deep|opp_call_low,suited_connectors,BB,medium,medium,very_deep,opp_call_low,1,1.0,0.0,0.0,0.0,0.0
premium_pairs|BTN|very_deep|medium|medium|standard,premium_pairs,BTN,very_deep,medium,medium,standard,1,0.0,1.0,0.0,0.0,0.0
trash|BB|medium|medium|very_deep|opp_check,trash,BB,medium,medium,very_deep,opp_check,1,1.0,0.0,0.0,0.0,0.0
weak_aces|BTN|very_deep|medium|medium|opp_raise_high_3bet,weak_aces,BTN,very_deep,medium,medium,opp_raise_high_3bet,1,0.0,1.0,0.0,0.0,0.0
trash|BTN|ultra_short|medium|very_deep|standard,trash,BTN,ultra_short,medium,very_deep,standard,3,0.0,0.6667,0.0,0.0,0.3333
trash|BB|very_deep|medium|ultra_short|opp_check,trash,BB,very_deep,medium,ultra_short,opp_check,3,0.3333,0.3333,0.0,0.3333,0.0
trash|BTN|ultra_short|medium|very_deep|opp_check,trash,BTN,ultra_short,medium,very_deep,opp_check,1,0.0,1.0,0.0,0.0,0.0
premium_aces|BB|very_deep|medium|ultra_short|opp_shove,premium_aces,BB,very_deep,medium,ultra_short,opp_shove,1,0.0,1.0,0.0,0.0,0.0
trash|BTN|ultra_short|medium|very_deep|opp_call_high,trash,BTN,ultra_short,medium,very_deep,opp_call_high,1,0.0,1.0,0.0,0.0,0.0
premium_aces|BB|very_deep|medium|ultra_short|opp_check,premium_aces,BB,very_deep,medium,ultra_short,opp_check,1,0.0,0.0,0.0,0.0,1.0
small_pairs|BB|medium|medium|very_deep|opp_raise_mid,small_pairs,BB,medium,medium,very_deep,opp_raise_mid,1,0.0,1.0,0.0,0.0,0.0
medium_aces|BTN|medium|medium|very_deep|opp_check,medium_aces,BTN,medium,medium,very_deep,opp_check,1,0.0,0.0,0.0,1.0,0.0
trash|BB|very_deep|medium|medium|opp_raise_mid,trash,BB,very_deep,medium,medium,opp_raise_mid,1,0.0,0.0,0.0,1.0,0.0
