scenario_key,hand_category,position,stack_depth,blinds_level,training_games,best_action,confidence,fold_prob,call_small_prob,call_mid_prob,call_high_prob,raise_small_prob,raise_mid_prob,raise_high_prob
trash|BB|short|medium,trash,BB,short,medium,2,FOLD,0.719,0.719,0.17,0.0,0.0,0.111,0.0,0.0
trash|BB|deep|medium,trash,BB,deep,medium,18,FOLD,0.697,0.697,0.241,0.001,0.001,0.02,0.02,0.02
trash|BB|medium|medium,trash,BB,medium,medium,13,RAISE_MID,0.632,0.158,0.058,0.005,0.014,0.112,0.632,0.021
trash|BTN|medium|medium,trash,BTN,medium,medium,11,RAISE_SMALL,0.611,0.023,0.114,0.005,0.001,0.611,0.243,0.003
trash|BB|very_deep|low,trash,BB,very_deep,low,42,FOLD,0.594,0.594,0.223,0.024,0.006,0.064,0.005,0.083
trash|BTN|very_deep|medium,trash,BTN,very_deep,medium,33,RAISE_HIGH,0.575,0.241,0.054,0.0,0.0,0.064,0.065,0.575
trash|BTN|very_deep|high,trash,BTN,very_deep,high,51,CALL_SMALL,0.516,0.23,0.516,0.066,0.034,0.146,0.003,0.004
trash|BTN|medium|low,trash,BTN,medium,low,22,FOLD,0.502,0.502,0.17,0.024,0.019,0.086,0.013,0.186
trash|BTN|deep|medium,trash,BTN,deep,medium,16,FOLD,0.489,0.489,0.198,0.0,0.0,0.052,0.197,0.064
trash|BB|medium|high,trash,BB,medium,high,14,CALL_SMALL,0.452,0.327,0.452,0.08,0.015,0.058,0.054,0.015
trash|BB|very_deep|high,trash,BB,very_deep,high,49,FOLD,0.431,0.431,0.157,0.008,0.004,0.159,0.232,0.01
trash|BTN|very_deep|low,trash,BTN,very_deep,low,45,FOLD,0.423,0.423,0.33,0.031,0.015,0.021,0.04,0.14
trash|BB|deep|low,trash,BB,deep,low,25,FOLD,0.423,0.423,0.212,0.01,0.01,0.3,0.009,0.036
trash|BTN|medium|high,trash,BTN,medium,high,7,RAISE_SMALL,0.418,0.028,0.028,0.0,0.004,0.418,0.342,0.18
trash|BB|medium|low,trash,BB,medium,low,9,RAISE_MID,0.4,0.298,0.213,0.014,0.014,0.03,0.4,0.03
trash|BB|very_deep|medium,trash,BB,very_deep,medium,41,FOLD,0.361,0.361,0.139,0.049,0.025,0.227,0.013,0.186
trash|BB|deep|high,trash,BB,deep,high,22,RAISE_MID,0.361,0.142,0.086,0.009,0.01,0.147,0.361,0.244
trash|BTN|deep|low,trash,BTN,deep,low,28,CALL_SMALL,0.358,0.057,0.358,0.002,0.001,0.318,0.064,0.2
trash|BB|ultra_short|low,trash,BB,ultra_short,low,2,FOLD,0.333,0.333,0.333,0.0,0.0,0.333,0.0,0.0
trash|BTN|ultra_short|high,trash,BTN,ultra_short,high,2,FOLD,0.333,0.333,0.333,0.0,0.0,0.333,0.0,0.0
trash|BB|ultra_short|medium,trash,BB,ultra_short,medium,1,FOLD,0.333,0.333,0.333,0.0,0.0,0.333,0.0,0.0
trash|BB|ultra_short|high,trash,BB,ultra_short,high,0,FOLD,0.333,0.333,0.333,0.0,0.0,0.333,0.0,0.0
trash|BTN|deep|high,trash,BTN,deep,high,23,RAISE_SMALL,0.329,0.015,0.015,0.015,0.015,0.329,0.308,0.303
trash|BTN|short|high,trash,BTN,short,high,4,FOLD,0.3,0.3,0.3,0.05,0.0,0.3,0.05,0.0
trash|BTN|short|medium,trash,BTN,short,medium,3,FOLD,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.0
