scenario_key,hand_category,position,stack_depth,blinds_level,training_games,total_visits,estimated_ev,ev_std_dev,best_action,confidence,player,fold_pct,call_small_pct,call_mid_pct,call_high_pct,raise_small_pct,raise_mid_pct,raise_high_pct
trash|BB|very_deep|low,trash,BB,very_deep,low,2,3,29.8,39.4,FOLD,0.6,HERO,60.0,10.0,0.0,0.0,10.0,10.0,10.0
trash|BB|deep|low,trash,BB,deep,low,0,2,0.0,0.0,FOLD,0.551,VILLAIN,55.1,28.2,0.0,0.0,16.7,0.0,0.0
trash|BTN|deep|medium,trash,BTN,deep,medium,3,3,-0.0,6.098,RAISE_HIGH,0.515,HERO,6.7,6.7,0.0,0.0,21.4,13.7,51.5
trash|BTN|very_deep|low,trash,BTN,very_deep,low,5,7,-33.835,65.3,RAISE_MID,0.433,VILLAIN,10.0,10.0,0.0,0.0,26.7,43.3,10.0
trash|BTN|very_deep|high,trash,BTN,very_deep,high,0,3,0.0,0.0,CALL_SMALL,0.386,VILLAIN,4.8,38.6,4.8,4.8,37.6,4.8,4.8
trash|BTN|very_deep|medium,trash,BTN,very_deep,medium,2,2,-9.75,9.0,FOLD,0.383,HERO,38.3,16.5,13.4,10.3,7.1,7.1,7.1
trash|BTN|very_deep|low,trash,BTN,very_deep,low,5,7,33.835,65.3,RAISE_SMALL,0.349,HERO,29.4,14.4,0.0,0.0,34.9,17.3,4.0
trash|BB|very_deep|high,trash,BB,very_deep,high,3,1,-85.733,71.515,FOLD,0.333,HERO,33.3,33.3,0.0,0.0,33.3,0.0,0.0
trash|BTN|short|high,trash,BTN,short,high,1,1,6.975,0.0,FOLD,0.333,HERO,33.3,33.3,0.0,0.0,33.3,0.0,0.0
trash|BTN|short|low,trash,BTN,short,low,1,1,48.562,0.0,FOLD,0.333,HERO,33.3,33.3,0.0,0.0,33.3,0.0,0.0
trash|BTN|deep|low,trash,BTN,deep,low,1,2,-3.75,0.0,FOLD,0.333,VILLAIN,33.3,33.3,0.0,0.0,33.3,0.0,0.0
trash|BTN|ultra_short|medium,trash,BTN,ultra_short,medium,0,1,0.0,0.0,FOLD,0.333,VILLAIN,33.3,33.3,0.0,0.0,33.3,0.0,0.0
trash|BB|very_deep|medium,trash,BB,very_deep,medium,1,2,-0.75,0.0,CALL_SMALL,0.321,VILLAIN,7.1,32.1,23.8,15.5,7.1,7.1,7.1
trash|BTN|medium|medium,trash,BTN,medium,medium,1,2,0.75,0.0,FOLD,0.25,VILLAIN,25.0,25.0,0.0,0.0,25.0,25.0,0.0
trash|BTN|medium|low,trash,BTN,medium,low,1,1,-10.5,0.0,FOLD,0.2,HERO,20.0,20.0,20.0,0.0,20.0,20.0,0.0
trash|BB|deep|high,trash,BB,deep,high,1,1,20.395,0.0,FOLD,0.2,HERO,20.0,20.0,0.0,0.0,20.0,20.0,20.0
trash|BB|medium|medium,trash,BB,medium,medium,1,2,4.825,0.0,FOLD,0.2,HERO,20.0,20.0,0.0,0.0,20.0,20.0,20.0
trash|BB|medium|medium,trash,BB,medium,medium,1,2,-4.825,0.0,FOLD,0.2,VILLAIN,20.0,20.0,0.0,0.0,20.0,20.0,20.0
trash|BTN|deep|high,trash,BTN,deep,high,0,1,0.0,0.0,FOLD,0.2,VILLAIN,20.0,20.0,0.0,0.0,20.0,20.0,20.0
trash|BB|very_deep|low,trash,BB,very_deep,low,2,3,-29.8,39.4,FOLD,0.143,VILLAIN,14.3,14.3,14.3,14.3,14.3,14.3,14.3
trash|BTN|deep|low,trash,BTN,deep,low,1,2,3.75,0.0,FOLD,0.143,HERO,14.3,14.3,14.3,14.3,14.3,14.3,14.3
trash|BTN|medium|medium,trash,BTN,medium,medium,1,2,-0.75,0.0,FOLD,0.143,HERO,14.3,14.3,14.3,14.3,14.3,14.3,14.3
